,trade_id,delivery_start,delivery_end,execution_time,price,quantity
223919,1673380645,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T06:19:21,-8.74,1.4
223920,1673380648,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T06:19:22,-8.74,0.7
223921,1673380649,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T06:19:22,-8.74,0.6
223922,1673380652,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T06:19:22,-8.74,0.8
224042,1673404393,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T06:57:12,-7.36,0.1
224044,1673407082,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:08,-8.0,5.9
224045,1673407119,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:10,-8.02,5.9
224046,1673407120,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:10,-8.02,20.0
224047,1673407121,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:10,-8.02,5.9
224048,1673407122,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:10,-8.02,4.1
224049,1673407171,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:12,-8.06,5.9
224050,1673407172,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:12,-8.06,5.9
224051,1673407173,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:12,-8.06,5.9
224052,1673407174,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:12,-8.06,5.9
224053,1673407176,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:12,-8.06,5.9
224054,1673407175,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:12,-8.06,5.9
224055,1673407177,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:12,-8.06,0.5
224056,1673407201,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:14,-8.08,5.9
224057,1673407199,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:14,-8.08,5.9
224058,1673407198,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:14,-8.08,5.9
224059,1673407200,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:14,-8.08,5.9
224060,1673407204,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:14,-8.08,0.5
224061,1673407202,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:14,-8.08,5.9
224062,1673407203,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:14,-8.08,5.9
224063,1673407248,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:16,-8.1,5.9
224064,1673407249,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:16,-8.1,20.0
224065,1673407250,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:16,-8.1,3.6
224066,1673407251,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:16,-8.1,6.4
224067,1673407299,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:18,-8.12,10.0
224068,1673407300,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:18,-8.12,20.0
224069,1673407301,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:18,-8.12,5.0
224070,1673407313,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:20,-8.14,5.3
224072,1673407620,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:36,27.83,4.0
224073,1673407621,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:36,27.83,5.0
224074,1673407623,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:36,27.83,4.0
224075,1673407624,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:36,27.83,5.0
224076,1673407622,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:36,27.83,1.0
224077,1673407628,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:36,27.83,1.0
224078,1673407625,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:36,27.83,1.0
224079,1673407629,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:36,27.83,4.0
224080,1673407626,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:36,27.83,4.0
224081,1673407627,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:36,27.83,5.0
224082,1673407630,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:36,27.83,5.0
224083,1673407631,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:36,27.83,1.0
224084,1673407632,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:36,27.83,4.0
224085,1673407634,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:36,27.83,1.0
224086,1673407633,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:36,27.83,5.0
224087,1673407636,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:36,27.83,5.0
224088,1673407635,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:36,27.83,4.0
224089,1673407638,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:36,27.83,4.0
224090,1673407639,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:36,27.83,5.0
224091,1673407637,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:36,27.83,1.0
224092,1673407640,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:36,27.83,1.0
224093,1673407642,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:36,27.83,5.0
224094,1673407641,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:36,27.83,4.0
224095,1673407644,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:36,27.83,3.0
224096,1673407643,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:01:36,27.83,1.0
224102,1673409131,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:02:35,-8.34,5.0
224103,1673409132,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:02:35,-8.34,20.0
224104,1673409133,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:02:35,-8.34,5.0
224105,1673409134,2024-05-10T14:00:00,2024-05-10T15:00:00,2024-05-10T07:02:35,-8.34,20.0
